epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,101.199,1.18734,1.44888,0.98194,0.69027,0.81804,0.84328,0.61216,0.92443,1.13584,0.95044,0.000495291,0.000495291,0.000495291
68,102.77,1.00055,1.37251,0.946,0.63389,0.89832,0.84343,0.6224,0.89747,1.12016,0.94384,0.000481144,0.000481144,0.000481144
69,103.986,1.23275,1.63564,1.04337,0.63389,0.89832,0.84343,0.6224,0.89747,1.12016,0.94384,0.000466997,0.000466997,0.000466997
70,105.296,1.06629,1.47051,0.99785,0.63389,0.89832,0.84343,0.6224,0.89747,1.12016,0.94384,0.00045285,0.00045285,0.00045285
71,106.597,1.0293,1.38111,0.97325,0.70056,0.84345,0.85568,0.63623,0.88305,1.11835,0.94078,0.000438703,0.000438703,0.000438703
72,107.765,1.18306,1.48472,1.04842,0.70056,0.84345,0.85568,0.63623,0.88305,1.11835,0.94078,0.000424556,0.000424556,0.000424556
73,109.71,1.07375,1.55076,1.01771,0.73529,0.84345,0.86503,0.63013,0.88602,1.0937,0.9404,0.000410409,0.000410409,0.000410409
74,111.65,1.12091,1.48648,0.95546,0.73529,0.84345,0.86503,0.63013,0.88602,1.0937,0.9404,0.000396262,0.000396262,0.000396262
75,113.101,1.11238,1.41315,0.92899,0.73529,0.84345,0.86503,0.63013,0.88602,1.0937,0.9404,0.000382115,0.000382115,0.000382115
76,114.349,1.06326,1.38846,0.9812,0.68815,0.83036,0.84689,0.62665,0.90804,1.08467,0.94619,0.000367967,0.000367967,0.000367967
77,115.487,1.12926,1.51249,0.96663,0.68815,0.83036,0.84689,0.62665,0.90804,1.08467,0.94619,0.00035382,0.00035382,0.00035382
78,116.804,1.06367,1.38297,1.00359,0.68815,0.83036,0.84689,0.62665,0.90804,1.08467,0.94619,0.000339673,0.000339673,0.000339673
79,118.422,1.15463,1.37067,0.93949,0.7112,0.81726,0.8499,0.62725,0.91376,1.08796,0.93642,0.000325526,0.000325526,0.000325526
80,119.613,1.15951,1.45043,0.96175,0.7112,0.81726,0.8499,0.62725,0.91376,1.08796,0.93642,0.000311379,0.000311379,0.000311379
81,120.869,1.05974,1.31278,0.9286,0.70673,0.83982,0.84747,0.63014,0.90087,1.08976,0.93053,0.000297232,0.000297232,0.000297232
82,122.048,1.07813,1.37563,0.98209,0.70673,0.83982,0.84747,0.63014,0.90087,1.08976,0.93053,0.000283085,0.000283085,0.000283085
83,123.525,1.10615,1.26564,0.92728,0.70673,0.83982,0.84747,0.63014,0.90087,1.08976,0.93053,0.000268938,0.000268938,0.000268938
84,125.37,1.1289,1.38078,1.03349,0.69125,0.85709,0.85113,0.63768,0.88021,1.0711,0.92805,0.000254791,0.000254791,0.000254791
85,127.274,1.06504,1.30263,0.93268,0.69125,0.85709,0.85113,0.63768,0.88021,1.0711,0.92805,0.000240644,0.000240644,0.000240644
86,128.574,1.11211,1.40128,0.98458,0.69125,0.85709,0.85113,0.63768,0.88021,1.0711,0.92805,0.000226497,0.000226497,0.000226497
87,129.724,1.05495,1.3811,1.01028,0.69757,0.86607,0.85353,0.65378,0.87199,1.04971,0.92786,0.000212349,0.000212349,0.000212349
88,131.419,1.05582,1.40956,0.9648,0.69757,0.86607,0.85353,0.65378,0.87199,1.04971,0.92786,0.000198202,0.000198202,0.000198202
89,132.739,1.02269,1.39787,0.95249,0.68126,0.82917,0.8488,0.65711,0.86342,1.03972,0.92651,0.000184055,0.000184055,0.000184055
